,architecture,variance,psnr,psnr std,ssim,ssim std,second,loss,num classes,num repeat,degree,factor,polynomial,polynomial degree
4828,decreasing,22.5,-30.623825,19.878622,0.04852988,0.17625839,True,probability,5.0,1.0,1.0,10.0,True,4.0
4829,decreasing,22.5,25.699402,0.7744724,0.621764,0.09188748,True,probability,5.0,1.0,1.0,10.0,False,-1.0
4830,decreasing,22.5,27.04733,1.830402,0.76464266,0.040781297,True,probability,5.0,1.0,1.0,3.1622776601683795,True,1.0
4831,decreasing,22.5,26.366356,1.908283,0.7429345,0.06370101,True,probability,5.0,1.0,1.0,3.1622776601683795,True,2.0
4832,decreasing,22.5,16.952513,22.151564,0.61160016,0.2669645,True,probability,5.0,1.0,1.0,3.1622776601683795,True,3.0
4833,decreasing,22.5,24.521742,6.845688,0.6247771,0.15071747,True,probability,5.0,1.0,1.0,3.1622776601683795,True,5.0
4834,decreasing,22.5,27.277103,1.4162403,0.7635911,0.042128004,True,probability,5.0,1.0,1.0,3.1622776601683795,False,-1.0
4835,decreasing,22.5,-6.5442634,30.225155,0.26565924,0.33942485,True,probability,5.0,1.0,1.0,1.0,True,1.0
4836,decreasing,22.5,26.180843,3.5654798,0.72722954,0.09684406,True,probability,5.0,1.0,1.0,1.0,True,2.0
4837,decreasing,22.5,27.044605,1.6845269,0.75510055,0.047386352,True,probability,5.0,1.0,1.0,1.0,True,4.0
4838,decreasing,22.5,25.901558,2.0528793,0.7273601,0.06939594,True,probability,5.0,1.0,1.0,1.0,False,-1.0
4839,decreasing,22.5,24.069805,0.7566771,0.55330485,0.10098473,True,probability,5.0,1.0,1.0,0.3162277660168379,True,2.0
4840,decreasing,22.5,24.930664,4.4180202,0.6442564,0.1636219,True,probability,5.0,1.0,1.0,0.3162277660168379,True,3.0
4841,decreasing,22.5,27.105572,1.5642987,0.760394,0.04439541,True,probability,5.0,1.0,1.0,0.3162277660168379,True,4.0
4842,decreasing,22.5,27.28091,1.5548017,0.752187,0.042711128,True,probability,5.0,1.0,1.0,0.3162277660168379,True,5.0
4843,decreasing,22.5,23.365284,8.369354,0.6232959,0.21484914,True,probability,5.0,1.0,2.0,10.0,True,2.0
4844,decreasing,22.5,26.704552,1.0387766,0.67586845,0.08390242,True,probability,5.0,1.0,2.0,10.0,True,5.0
4845,decreasing,22.5,26.744436,1.7767943,0.74918544,0.054605782,True,probability,5.0,1.0,2.0,3.1622776601683795,True,3.0
4846,decreasing,22.5,-36.396835,19.558529,0.056595,0.18904082,True,probability,5.0,1.0,3.0,3.1622776601683795,True,4.0
4847,decreasing,22.5,25.556,0.7810994,0.61419034,0.09508305,True,probability,5.0,1.0,3.0,3.1622776601683795,False,-1.0
4848,decreasing,22.5,2.3478088,21.688984,0.28669655,0.33611435,True,probability,5.0,1.0,3.0,1.0,True,1.0
