,architecture,loss,num_classes,degree,latent_size,type,known_variance,static_gamma,chance,variance,house,peppers,barbara,boats
6585,decreasing,psnr,20,4,1024,noconstraints,1,0,0,20.0,22.113807678222656,22.13190460205078,22.101831436157227,22.12187957763672
6586,decreasing,psnr,20,4,1024,noconstraints,1,0,0,25.0,20.202775955200195,20.169166564941406,20.179183959960938,20.14840507507324
6587,decreasing,psnr,20,4,1024,noconstraints,1,0,0,50.0,14.115406036376951,14.188655853271484,14.162826538085938,14.15500259399414
6588,decreasing,psnr,20,4,1024,noconstraints,1,0,0,75.0,10.660137176513672,10.62972640991211,10.632991790771484,10.629440307617188
6589,decreasing,psnr,20,4,1024,noconstraints,1,0,0,100.0,8.100364685058594,8.158767700195312,8.134624481201172,8.134479522705078
6590,decreasing,psnr,20,4,1024,noconstraints,1,1,0,1.0,48.25828552246094,48.19043731689453,48.10723114013672,48.19287872314453
6591,decreasing,psnr,20,4,1024,noconstraints,1,1,0,2.0,42.2733268737793,42.22418594360352,42.18985748291016,42.335567474365234
6592,decreasing,psnr,20,4,1024,noconstraints,1,1,0,5.0,34.854530334472656,34.82215118408203,34.67154693603516,34.7965087890625
6593,decreasing,psnr,20,4,1024,noconstraints,1,1,0,10.0,29.130165100097656,29.00003433227539,28.93159294128418,29.186281204223636
6594,decreasing,psnr,20,4,1024,noconstraints,1,1,0,15.0,25.160823822021484,25.198793411254883,25.031024932861328,24.956655502319336
6595,decreasing,psnr,20,4,1024,noconstraints,1,1,0,20.0,22.674654006958008,22.841215133666992,22.78196144104004,22.44410514831543
6596,decreasing,psnr,20,4,1024,noconstraints,1,1,0,25.0,20.876955032348636,20.81629943847656,20.6491813659668,20.81211471557617
6597,decreasing,psnr,20,4,1024,noconstraints,1,1,0,50.0,15.254749298095703,15.647144317626951,15.288166046142578,15.27373504638672
6598,decreasing,psnr,20,4,1024,noconstraints,1,1,0,75.0,10.984050750732422,11.209518432617188,11.168933868408203,11.199420928955078
6599,decreasing,psnr,20,4,1024,noconstraints,1,1,0,100.0,8.378154754638672,8.413379669189453,8.471382141113281,8.385841369628906
6600,decreasing,psnr,20,4,256,classic,0,1,0,1.0,48.13253021240234,48.13529968261719,48.10557556152344,48.09789276123047
6601,decreasing,psnr,20,4,256,classic,0,1,0,2.0,42.13246536254883,42.11589431762695,42.08624267578125,42.100563049316406
6602,decreasing,psnr,20,4,256,classic,0,1,0,5.0,34.16830062866211,34.201629638671875,34.169342041015625,34.14371109008789
